municipio_norm,uf,municipio_ibge,codigo_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
ALTA FLORESTA DOESTE,RO,Alta Floresta D'Oeste,1100015,Ji-Paraná,Cacoal,Leste Rondoniense
ARIQUEMES,RO,Ariquemes,1100023,Porto Velho,Ariquemes,Leste Rondoniense
CABIXI,RO,Cabixi,1100031,Ji-Paraná,Vilhena,Leste Rondoniense
CACOAL,RO,Cacoal,1100049,Ji-Paraná,Cacoal,Leste Rondoniense
CEREJEIRAS,RO,Cerejeiras,1100056,Ji-Paraná,Vilhena,Leste Rondoniense
COLORADO DO OESTE,RO,Colorado do Oeste,1100064,Ji-Paraná,Vilhena,Leste Rondoniense
CORUMBIARA,RO,Corumbiara,1100072,Ji-Paraná,Vilhena,Leste Rondoniense
COSTA MARQUES,RO,Costa Marques,1100080,Ji-Paraná,Ji-Paraná,Madeira-Guaporé
ESPIGAO DOESTE,RO,Espigão D'Oeste,1100098,Ji-Paraná,Cacoal,Leste Rondoniense
GUAJARA MIRIM,RO,Guajará-Mirim,1100106,Porto Velho,Porto Velho,Madeira-Guaporé
JARU,RO,Jaru,1100114,Porto Velho,Jaru,Leste Rondoniense
JI PARANA,RO,Ji-Paraná,1100122,Ji-Paraná,Ji-Paraná,Leste Rondoniense
MACHADINHO DOESTE,RO,Machadinho D'Oeste,1100130,Porto Velho,Jaru,Leste Rondoniense
NOVA BRASILANDIA DOESTE,RO,Nova Brasilândia D'Oeste,1100148,Ji-Paraná,Cacoal,Leste Rondoniense
OURO PRETO DO OESTE,RO,Ouro Preto do Oeste,1100155,Ji-Paraná,Ji-Paraná,Leste Rondoniense
PIMENTA BUENO,RO,Pimenta Bueno,1100189,Ji-Paraná,Cacoal,Leste Rondoniense
PORTO VELHO,RO,Porto Velho,1100205,Porto Velho,Porto Velho,Madeira-Guaporé
PRESIDENTE MEDICI,RO,Presidente Médici,1100254,Ji-Paraná,Ji-Paraná,Leste Rondoniense
RIO CRESPO,RO,Rio Crespo,1100262,Porto Velho,Ariquemes,Leste Rondoniense
ROLIM DE MOURA,RO,Rolim de Moura,1100288,Ji-Paraná,Cacoal,Leste Rondoniense
SANTA LUZIA DOESTE,RO,Santa Luzia D'Oeste,1100296,Ji-Paraná,Cacoal,Leste Rondoniense
VILHENA,RO,Vilhena,1100304,Ji-Paraná,Vilhena,Leste Rondoniense
SAO MIGUEL DO GUAPORE,RO,São Miguel do Guaporé,1100320,Ji-Paraná,Ji-Paraná,Leste Rondoniense
NOVA MAMORE,RO,Nova Mamoré,1100338,Porto Velho,Porto Velho,Madeira-Guaporé
ALVORADA DOESTE,RO,Alvorada D'Oeste,1100346,Ji-Paraná,Ji-Paraná,Leste Rondoniense
ALTO ALEGRE DOS PARECIS,RO,Alto Alegre dos Parecis,1100379,Ji-Paraná,Cacoal,Leste Rondoniense
ALTO PARAISO,RO,Alto Paraíso,1100403,Porto Velho,Ariquemes,Leste Rondoniense
BURITIS,RO,Buritis,1100452,Porto Velho,Ariquemes,Madeira-Guaporé
NOVO HORIZONTE DO OESTE,RO,Novo Horizonte do Oeste,1100502,Ji-Paraná,Cacoal,Leste Rondoniense
CACAULANDIA,RO,Cacaulândia,1100601,Porto Velho,Ariquemes,Leste Rondoniense
CAMPO NOVO DE RONDONIA,RO,Campo Novo de Rondônia,1100700,Porto Velho,Ariquemes,Madeira-Guaporé
CANDEIAS DO JAMARI,RO,Candeias do Jamari,1100809,Porto Velho,Porto Velho,Madeira-Guaporé
CASTANHEIRAS,RO,Castanheiras,1100908,Ji-Paraná,Cacoal,Leste Rondoniense
CHUPINGUAIA,RO,Chupinguaia,1100924,Ji-Paraná,Vilhena,Leste Rondoniense
CUJUBIM,RO,Cujubim,1100940,Porto Velho,Ariquemes,Madeira-Guaporé
GOVERNADOR JORGE TEIXEIRA,RO,Governador Jorge Teixeira,1101005,Porto Velho,Jaru,Leste Rondoniense
ITAPUA DO OESTE,RO,Itapuã do Oeste,1101104,Porto Velho,Porto Velho,Madeira-Guaporé
MINISTRO ANDREAZZA,RO,Ministro Andreazza,1101203,Ji-Paraná,Cacoal,Leste Rondoniense
MIRANTE DA SERRA,RO,Mirante da Serra,1101302,Ji-Paraná,Ji-Paraná,Leste Rondoniense
MONTE NEGRO,RO,Monte Negro,1101401,Porto Velho,Ariquemes,Leste Rondoniense
NOVA UNIAO,RO,Nova União,1101435,Ji-Paraná,Ji-Paraná,Leste Rondoniense
PARECIS,RO,Parecis,1101450,Ji-Paraná,Cacoal,Leste Rondoniense
PIMENTEIRAS DO OESTE,RO,Pimenteiras do Oeste,1101468,Ji-Paraná,Vilhena,Leste Rondoniense
PRIMAVERA DE RONDONIA,RO,Primavera de Rondônia,1101476,Ji-Paraná,Cacoal,Leste Rondoniense
SAO FELIPE DOESTE,RO,São Felipe D'Oeste,1101484,Ji-Paraná,Cacoal,Leste Rondoniense
SAO FRANCISCO DO GUAPORE,RO,São Francisco do Guaporé,1101492,Ji-Paraná,Ji-Paraná,Madeira-Guaporé
SERINGUEIRAS,RO,Seringueiras,1101500,Ji-Paraná,Ji-Paraná,Leste Rondoniense
TEIXEIROPOLIS,RO,Teixeirópolis,1101559,Ji-Paraná,Ji-Paraná,Leste Rondoniense
THEOBROMA,RO,Theobroma,1101609,Porto Velho,Jaru,Leste Rondoniense
URUPA,RO,Urupá,1101708,Ji-Paraná,Ji-Paraná,Leste Rondoniense
VALE DO ANARI,RO,Vale do Anari,1101757,Porto Velho,Jaru,Leste Rondoniense
VALE DO PARAISO,RO,Vale do Paraíso,1101807,Ji-Paraná,Ji-Paraná,Leste Rondoniense
ACRELANDIA,AC,Acrelândia,1200013,Rio Branco,Rio Branco,Vale do Acre
ASSIS BRASIL,AC,Assis Brasil,1200054,Rio Branco,Brasiléia,Vale do Acre
BRASILEIA,AC,Brasiléia,1200104,Rio Branco,Brasiléia,Vale do Acre
BUJARI,AC,Bujari,1200138,Rio Branco,Rio Branco,Vale do Acre
CAPIXABA,AC,Capixaba,1200179,Rio Branco,Rio Branco,Vale do Acre
CRUZEIRO DO SUL,AC,Cruzeiro do Sul,1200203,Cruzeiro do Sul,Cruzeiro do Sul,Vale do Juruá
EPITACIOLANDIA,AC,Epitaciolândia,1200252,Rio Branco,Brasiléia,Vale do Acre
FEIJO,AC,Feijó,1200302,Cruzeiro do Sul,Tarauacá,Vale do Juruá
JORDAO,AC,Jordão,1200328,Cruzeiro do Sul,Tarauacá,Vale do Juruá
MANCIO LIMA,AC,Mâncio Lima,1200336,Cruzeiro do Sul,Cruzeiro do Sul,Vale do Juruá
MANOEL URBANO,AC,Manoel Urbano,1200344,Rio Branco,Sena Madureira,Vale do Acre
MARECHAL THAUMATURGO,AC,Marechal Thaumaturgo,1200351,Cruzeiro do Sul,Cruzeiro do Sul,Vale do Juruá
PLACIDO DE CASTRO,AC,Plácido de Castro,1200385,Rio Branco,Rio Branco,Vale do Acre
PORTO WALTER,AC,Porto Walter,1200393,Cruzeiro do Sul,Cruzeiro do Sul,Vale do Juruá
RIO BRANCO,AC,Rio Branco,1200401,Rio Branco,Rio Branco,Vale do Acre
RODRIGUES ALVES,AC,Rodrigues Alves,1200427,Cruzeiro do Sul,Cruzeiro do Sul,Vale do Juruá
SANTA ROSA DO PURUS,AC,Santa Rosa do Purus,1200435,Rio Branco,Sena Madureira,Vale do Acre
SENADOR GUIOMARD,AC,Senador Guiomard,1200450,Rio Branco,Rio Branco,Vale do Acre
SENA MADUREIRA,AC,Sena Madureira,1200500,Rio Branco,Sena Madureira,Vale do Acre
TARAUACA,AC,Tarauacá,1200609,Cruzeiro do Sul,Tarauacá,Vale do Juruá
XAPURI,AC,Xapuri,1200708,Rio Branco,Brasiléia,Vale do Acre
PORTO ACRE,AC,Porto Acre,1200807,Rio Branco,Rio Branco,Vale do Acre
ALVARAES,AM,Alvarães,1300029,Tefé,Tefé,Centro Amazonense
AMATURA,AM,Amaturá,1300060,Tefé,Tabatinga,Sudoeste Amazonense
ANAMA,AM,Anamã,1300086,Manaus,Manacapuru,Centro Amazonense
ANORI,AM,Anori,1300102,Manaus,Coari,Centro Amazonense
APUI,AM,Apuí,1300144,Lábrea,Manicoré,Sul Amazonense
ATALAIA DO NORTE,AM,Atalaia do Norte,1300201,Tefé,Tabatinga,Sudoeste Amazonense
AUTAZES,AM,Autazes,1300300,Manaus,Manaus,Centro Amazonense
BARCELOS,AM,Barcelos,1300409,Manaus,São Gabriel da Cachoeira,Norte Amazonense
BARREIRINHA,AM,Barreirinha,1300508,Parintins,Parintins,Centro Amazonense
BENJAMIN CONSTANT,AM,Benjamin Constant,1300607,Tefé,Tabatinga,Sudoeste Amazonense
BERURI,AM,Beruri,1300631,Manaus,Coari,Centro Amazonense
BOA VISTA DO RAMOS,AM,Boa Vista do Ramos,1300680,Parintins,Parintins,Centro Amazonense
BOCA DO ACRE,AM,Boca do Acre,1300706,Lábrea,Lábrea,Sul Amazonense
BORBA,AM,Borba,1300805,Manaus,Manaus,Sul Amazonense
CAAPIRANGA,AM,Caapiranga,1300839,Manaus,Manacapuru,Centro Amazonense
CANUTAMA,AM,Canutama,1300904,Lábrea,Lábrea,Sul Amazonense
CARAUARI,AM,Carauari,1301001,Tefé,Tefé,Sudoeste Amazonense
CAREIRO,AM,Careiro,1301100,Manaus,Manaus,Centro Amazonense
CAREIRO DA VARZEA,AM,Careiro da Várzea,1301159,Manaus,Manaus,Centro Amazonense
COARI,AM,Coari,1301209,Manaus,Coari,Centro Amazonense
CODAJAS,AM,Codajás,1301308,Manaus,Coari,Centro Amazonense
EIRUNEPE,AM,Eirunepé,1301407,Tefé,Eirunepé,Sudoeste Amazonense
ENVIRA,AM,Envira,1301506,Tefé,Eirunepé,Sudoeste Amazonense
FONTE BOA,AM,Fonte Boa,1301605,Tefé,Tefé,Sudoeste Amazonense
GUAJARA,AM,Guajará,1301654,Tefé,Eirunepé,Sudoeste Amazonense
HUMAITA,AM,Humaitá,1301704,Lábrea,Manicoré,Sul Amazonense
IPIXUNA,AM,Ipixuna,1301803,Tefé,Eirunepé,Sudoeste Amazonense
IRANDUBA,AM,Iranduba,1301852,Manaus,Manaus,Centro Amazonense
ITACOATIARA,AM,Itacoatiara,1301902,Parintins,Itacoatiara,Centro Amazonense
ITAMARATI,AM,Itamarati,1301951,Tefé,Eirunepé,Sudoeste Amazonense
ITAPIRANGA,AM,Itapiranga,1302009,Parintins,Itacoatiara,Centro Amazonense
JAPURA,AM,Japurá,1302108,Tefé,Tefé,Norte Amazonense
JURUA,AM,Juruá,1302207,Tefé,Tefé,Sudoeste Amazonense
JUTAI,AM,Jutaí,1302306,Tefé,Tefé,Sudoeste Amazonense
LABREA,AM,Lábrea,1302405,Lábrea,Lábrea,Sul Amazonense
MANACAPURU,AM,Manacapuru,1302504,Manaus,Manacapuru,Centro Amazonense
MANAQUIRI,AM,Manaquiri,1302553,Manaus,Manaus,Centro Amazonense
MANAUS,AM,Manaus,1302603,Manaus,Manaus,Centro Amazonense
MANICORE,AM,Manicoré,1302702,Lábrea,Manicoré,Sul Amazonense
MARAA,AM,Maraã,1302801,Tefé,Tefé,Norte Amazonense
MAUES,AM,Maués,1302900,Parintins,Parintins,Centro Amazonense
NHAMUNDA,AM,Nhamundá,1303007,Parintins,Parintins,Centro Amazonense
NOVA OLINDA DO NORTE,AM,Nova Olinda do Norte,1303106,Manaus,Manaus,Centro Amazonense
NOVO AIRAO,AM,Novo Airão,1303205,Manaus,Manacapuru,Norte Amazonense
NOVO ARIPUANA,AM,Novo Aripuanã,1303304,Lábrea,Manicoré,Sul Amazonense
PARINTINS,AM,Parintins,1303403,Parintins,Parintins,Centro Amazonense
PAUINI,AM,Pauini,1303502,Lábrea,Lábrea,Sul Amazonense
PRESIDENTE FIGUEIREDO,AM,Presidente Figueiredo,1303536,Manaus,Manaus,Centro Amazonense
RIO PRETO DA EVA,AM,Rio Preto da Eva,1303569,Manaus,Manaus,Centro Amazonense
SANTA ISABEL DO RIO NEGRO,AM,Santa Isabel do Rio Negro,1303601,Manaus,São Gabriel da Cachoeira,Norte Amazonense
SANTO ANTONIO DO ICA,AM,Santo Antônio do Içá,1303700,Tefé,Tabatinga,Sudoeste Amazonense
SAO GABRIEL DA CACHOEIRA,AM,São Gabriel da Cachoeira,1303809,Manaus,São Gabriel da Cachoeira,Norte Amazonense
SAO PAULO DE OLIVENCA,AM,São Paulo de Olivença,1303908,Tefé,Tabatinga,Sudoeste Amazonense
SAO SEBASTIAO DO UATUMA,AM,São Sebastião do Uatumã,1303957,Parintins,Itacoatiara,Centro Amazonense
SILVES,AM,Silves,1304005,Parintins,Itacoatiara,Centro Amazonense
TABATINGA,AM,Tabatinga,1304062,Tefé,Tabatinga,Sudoeste Amazonense
TAPAUA,AM,Tapauá,1304104,Lábrea,Lábrea,Sul Amazonense
TEFE,AM,Tefé,1304203,Tefé,Tefé,Centro Amazonense
TONANTINS,AM,Tonantins,1304237,Tefé,Tabatinga,Sudoeste Amazonense
UARINI,AM,Uarini,1304260,Tefé,Tefé,Centro Amazonense
URUCARA,AM,Urucará,1304302,Parintins,Itacoatiara,Centro Amazonense
URUCURITUBA,AM,Urucurituba,1304401,Parintins,Itacoatiara,Centro Amazonense
AMAJARI,RR,Amajari,1400027,Boa Vista,Pacaraima,Norte de Roraima
ALTO ALEGRE,RR,Alto Alegre,1400050,Boa Vista,Boa Vista,Norte de Roraima
BOA VISTA,RR,Boa Vista,1400100,Boa Vista,Boa Vista,Norte de Roraima
BONFIM,RR,Bonfim,1400159,Boa Vista,Boa Vista,Norte de Roraima
CANTA,RR,Cantá,1400175,Boa Vista,Boa Vista,Norte de Roraima
CARACARAI,RR,Caracaraí,1400209,Rorainópolis - Caracaraí,Caracaraí,Sul de Roraima
CAROEBE,RR,Caroebe,1400233,Rorainópolis - Caracaraí,Rorainópolis,Sul de Roraima
IRACEMA,RR,Iracema,1400282,Rorainópolis - Caracaraí,Caracaraí,Sul de Roraima
MUCAJAI,RR,Mucajaí,1400308,Boa Vista,Boa Vista,Sul de Roraima
NORMANDIA,RR,Normandia,1400407,Boa Vista,Pacaraima,Norte de Roraima
PACARAIMA,RR,Pacaraima,1400456,Boa Vista,Pacaraima,Norte de Roraima
RORAINOPOLIS,RR,Rorainópolis,1400472,Rorainópolis - Caracaraí,Rorainópolis,Sul de Roraima
SAO JOAO DA BALIZA,RR,São João da Baliza,1400506,Rorainópolis - Caracaraí,Rorainópolis,Sul de Roraima
SAO LUIZ DO ANAUA,RR,São Luiz do Anauá,1400605,Rorainópolis - Caracaraí,Rorainópolis,Sul de Roraima
UIRAMUTA,RR,Uiramutã,1400704,Boa Vista,Pacaraima,Norte de Roraima
ABAETETUBA,PA,Abaetetuba,1500107,Belém,Abaetetuba,Nordeste Paraense
ABEL FIGUEIREDO,PA,Abel Figueiredo,1500131,Marabá,Marabá,Sudeste Paraense
ACARA,PA,Acará,1500206,Belém,Belém,Nordeste Paraense
AFUA,PA,Afuá,1500305,Breves,Breves,Marajó
AGUA AZUL DO NORTE,PA,Água Azul do Norte,1500347,Redenção,Xinguara,Sudeste Paraense
ALENQUER,PA,Alenquer,1500404,Santarém,Santarém,Baixo Amazonas
ALMEIRIM,PA,Almeirim,1500503,Altamira,Almeirim - Porto de Moz,Baixo Amazonas
ALTAMIRA,PA,Altamira,1500602,Altamira,Altamira,Sudoeste Paraense
ANAJAS,PA,Anajás,1500701,Breves,Breves,Marajó
ANANINDEUA,PA,Ananindeua,1500800,Belém,Belém,Metropolitana de Belém
ANAPU,PA,Anapu,1500859,Altamira,Altamira,Sudoeste Paraense
AUGUSTO CORREA,PA,Augusto Corrêa,1500909,Castanhal,Bragança,Nordeste Paraense
AURORA DO PARA,PA,Aurora do Pará,1500958,Castanhal,Paragominas,Nordeste Paraense
AVEIRO,PA,Aveiro,1501006,Santarém,Itaituba,Sudoeste Paraense
BAGRE,PA,Bagre,1501105,Breves,Breves,Marajó
BAIAO,PA,Baião,1501204,Marabá,Tucuruí,Nordeste Paraense
BANNACH,PA,Bannach,1501253,Redenção,Redenção,Sudeste Paraense
BARCARENA,PA,Barcarena,1501303,Belém,Belém,Metropolitana de Belém
BELEM,PA,Belém,1501402,Belém,Belém,Metropolitana de Belém
BELTERRA,PA,Belterra,1501451,Santarém,Santarém,Baixo Amazonas
BENEVIDES,PA,Benevides,1501501,Belém,Belém,Metropolitana de Belém
BOM JESUS DO TOCANTINS,PA,Bom Jesus do Tocantins,1501576,Marabá,Marabá,Sudeste Paraense
BONITO,PA,Bonito,1501600,Castanhal,Capanema,Nordeste Paraense
BRAGANCA,PA,Bragança,1501709,Castanhal,Bragança,Nordeste Paraense
BRASIL NOVO,PA,Brasil Novo,1501725,Altamira,Altamira,Sudoeste Paraense
BREJO GRANDE DO ARAGUAIA,PA,Brejo Grande do Araguaia,1501758,Marabá,Marabá,Sudeste Paraense
BREU BRANCO,PA,Breu Branco,1501782,Marabá,Tucuruí,Sudeste Paraense
BREVES,PA,Breves,1501808,Breves,Breves,Marajó
BUJARU,PA,Bujaru,1501907,Belém,Belém,Metropolitana de Belém
CACHOEIRA DO PIRIA,PA,Cachoeira do Piriá,1501956,Castanhal,Bragança,Nordeste Paraense
CACHOEIRA DO ARARI,PA,Cachoeira do Arari,1502004,Breves,Soure-Salvaterra,Marajó
CAMETA,PA,Cametá,1502103,Belém,Cametá,Nordeste Paraense
CANAA DOS CARAJAS,PA,Canaã dos Carajás,1502152,Marabá,Parauapebas,Sudeste Paraense
CAPANEMA,PA,Capanema,1502202,Castanhal,Capanema,Nordeste Paraense
CAPITAO POCO,PA,Capitão Poço,1502301,Castanhal,Capitão Poço,Nordeste Paraense
CASTANHAL,PA,Castanhal,1502400,Castanhal,Castanhal,Metropolitana de Belém
CHAVES,PA,Chaves,1502509,Breves,Breves,Marajó
COLARES,PA,Colares,1502608,Belém,Belém,Nordeste Paraense
CONCEICAO DO ARAGUAIA,PA,Conceição do Araguaia,1502707,Redenção,Redenção,Sudeste Paraense
CONCORDIA DO PARA,PA,Concórdia do Pará,1502756,Belém,Belém,Nordeste Paraense
CUMARU DO NORTE,PA,Cumaru do Norte,1502764,Redenção,Redenção,Sudeste Paraense
CURIONOPOLIS,PA,Curionópolis,1502772,Marabá,Parauapebas,Sudeste Paraense
CURRALINHO,PA,Curralinho,1502806,Breves,Breves,Marajó
CURUA,PA,Curuá,1502855,Santarém,Oriximiná,Baixo Amazonas
CURUCA,PA,Curuçá,1502905,Castanhal,Castanhal,Nordeste Paraense
DOM ELISEU,PA,Dom Eliseu,1502939,Castanhal,Paragominas,Sudeste Paraense
ELDORADO DO CARAJAS,PA,Eldorado do Carajás,1502954,Marabá,Parauapebas,Sudeste Paraense
FARO,PA,Faro,1503002,Santarém,Oriximiná,Baixo Amazonas
FLORESTA DO ARAGUAIA,PA,Floresta do Araguaia,1503044,Redenção,Redenção,Sudeste Paraense
GARRAFAO DO NORTE,PA,Garrafão do Norte,1503077,Castanhal,Capitão Poço,Nordeste Paraense
GOIANESIA DO PARA,PA,Goianésia do Pará,1503093,Marabá,Tucuruí,Sudeste Paraense
GURUPA,PA,Gurupá,1503101,Breves,Breves,Marajó
IGARAPE ACU,PA,Igarapé-Açu,1503200,Castanhal,Castanhal,Nordeste Paraense
IGARAPE MIRI,PA,Igarapé-Miri,1503309,Belém,Abaetetuba,Nordeste Paraense
INHANGAPI,PA,Inhangapi,1503408,Castanhal,Castanhal,Metropolitana de Belém
IPIXUNA DO PARA,PA,Ipixuna do Pará,1503457,Castanhal,Paragominas,Nordeste Paraense
IRITUIA,PA,Irituia,1503507,Castanhal,Castanhal,Nordeste Paraense
ITAITUBA,PA,Itaituba,1503606,Santarém,Itaituba,Sudoeste Paraense
ITUPIRANGA,PA,Itupiranga,1503705,Marabá,Marabá,Sudeste Paraense
JACAREACANGA,PA,Jacareacanga,1503754,Santarém,Itaituba,Sudoeste Paraense
JACUNDA,PA,Jacundá,1503804,Marabá,Marabá,Sudeste Paraense
JURUTI,PA,Juruti,1503903,Santarém,Oriximiná,Baixo Amazonas
LIMOEIRO DO AJURU,PA,Limoeiro do Ajuru,1504000,Belém,Cametá,Nordeste Paraense
MAE DO RIO,PA,Mãe do Rio,1504059,Castanhal,Paragominas,Nordeste Paraense
MAGALHAES BARATA,PA,Magalhães Barata,1504109,Castanhal,Castanhal,Nordeste Paraense
MARABA,PA,Marabá,1504208,Marabá,Marabá,Sudeste Paraense
MARACANA,PA,Maracanã,1504307,Castanhal,Castanhal,Nordeste Paraense
MARAPANIM,PA,Marapanim,1504406,Castanhal,Castanhal,Nordeste Paraense
MARITUBA,PA,Marituba,1504422,Belém,Belém,Metropolitana de Belém
MEDICILANDIA,PA,Medicilândia,1504455,Altamira,Altamira,Sudoeste Paraense
MELGACO,PA,Melgaço,1504505,Breves,Breves,Marajó
MOCAJUBA,PA,Mocajuba,1504604,Belém,Cametá,Nordeste Paraense
MOJU,PA,Moju,1504703,Belém,Abaetetuba,Nordeste Paraense
MOJUI DOS CAMPOS,PA,Mojuí dos Campos,1504752,Santarém,Santarém,Baixo Amazonas
MONTE ALEGRE,PA,Monte Alegre,1504802,Santarém,Santarém,Baixo Amazonas
MUANA,PA,Muaná,1504901,Breves,Soure-Salvaterra,Marajó
NOVA ESPERANCA DO PIRIA,PA,Nova Esperança do Piriá,1504950,Castanhal,Capitão Poço,Nordeste Paraense
NOVA IPIXUNA,PA,Nova Ipixuna,1504976,Marabá,Marabá,Sudeste Paraense
NOVA TIMBOTEUA,PA,Nova Timboteua,1505007,Castanhal,Capanema,Nordeste Paraense
NOVO PROGRESSO,PA,Novo Progresso,1505031,Santarém,Itaituba,Sudoeste Paraense
NOVO REPARTIMENTO,PA,Novo Repartimento,1505064,Marabá,Tucuruí,Sudeste Paraense
OBIDOS,PA,Óbidos,1505106,Santarém,Oriximiná,Baixo Amazonas
OEIRAS DO PARA,PA,Oeiras do Pará,1505205,Belém,Cametá,Nordeste Paraense
ORIXIMINA,PA,Oriximiná,1505304,Santarém,Oriximiná,Baixo Amazonas
OUREM,PA,Ourém,1505403,Castanhal,Capitão Poço,Nordeste Paraense
OURILANDIA DO NORTE,PA,Ourilândia do Norte,1505437,Redenção,Tucumã - São Félix do Xingu,Sudeste Paraense
PACAJA,PA,Pacajá,1505486,Marabá,Tucuruí,Sudoeste Paraense
PALESTINA DO PARA,PA,Palestina do Pará,1505494,Marabá,Marabá,Sudeste Paraense
PARAGOMINAS,PA,Paragominas,1505502,Castanhal,Paragominas,Sudeste Paraense
PARAUAPEBAS,PA,Parauapebas,1505536,Marabá,Parauapebas,Sudeste Paraense
PAU DARCO,PA,Pau D'Arco,1505551,Redenção,Redenção,Sudeste Paraense
PEIXE BOI,PA,Peixe-Boi,1505601,Castanhal,Capanema,Nordeste Paraense
PICARRA,PA,Piçarra,1505635,Marabá,Marabá,Sudeste Paraense
PLACAS,PA,Placas,1505650,Santarém,Itaituba,Baixo Amazonas
PONTA DE PEDRAS,PA,Ponta de Pedras,1505700,Breves,Soure-Salvaterra,Marajó
PORTEL,PA,Portel,1505809,Breves,Breves,Marajó
PORTO DE MOZ,PA,Porto de Moz,1505908,Altamira,Almeirim - Porto de Moz,Baixo Amazonas
PRAINHA,PA,Prainha,1506005,Santarém,Santarém,Baixo Amazonas
PRIMAVERA,PA,Primavera,1506104,Castanhal,Capanema,Nordeste Paraense
QUATIPURU,PA,Quatipuru,1506112,Castanhal,Capanema,Nordeste Paraense
REDENCAO,PA,Redenção,1506138,Redenção,Redenção,Sudeste Paraense
RIO MARIA,PA,Rio Maria,1506161,Redenção,Xinguara,Sudeste Paraense
RONDON DO PARA,PA,Rondon do Pará,1506187,Marabá,Marabá,Sudeste Paraense
RUROPOLIS,PA,Rurópolis,1506195,Santarém,Itaituba,Sudoeste Paraense
SALINOPOLIS,PA,Salinópolis,1506203,Castanhal,Capanema,Nordeste Paraense
SALVATERRA,PA,Salvaterra,1506302,Breves,Soure-Salvaterra,Marajó
SANTA BARBARA DO PARA,PA,Santa Bárbara do Pará,1506351,Belém,Belém,Metropolitana de Belém
SANTA CRUZ DO ARARI,PA,Santa Cruz do Arari,1506401,Breves,Soure-Salvaterra,Marajó
SANTA IZABEL DO PARA,PA,Santa Izabel do Pará,1506500,Belém,Belém,Metropolitana de Belém
SANTA LUZIA DO PARA,PA,Santa Luzia do Pará,1506559,Castanhal,Bragança,Nordeste Paraense
SANTA MARIA DAS BARREIRAS,PA,Santa Maria das Barreiras,1506583,Redenção,Redenção,Sudeste Paraense
SANTA MARIA DO PARA,PA,Santa Maria do Pará,1506609,Castanhal,Castanhal,Nordeste Paraense
SANTANA DO ARAGUAIA,PA,Santana do Araguaia,1506708,Redenção,Redenção,Sudeste Paraense
SANTAREM,PA,Santarém,1506807,Santarém,Santarém,Baixo Amazonas
SANTAREM NOVO,PA,Santarém Novo,1506906,Castanhal,Capanema,Nordeste Paraense
SANTO ANTONIO DO TAUA,PA,Santo Antônio do Tauá,1507003,Belém,Belém,Metropolitana de Belém
SAO CAETANO DE ODIVELAS,PA,São Caetano de Odivelas,1507102,Belém,Belém,Nordeste Paraense
SAO DOMINGOS DO ARAGUAIA,PA,São Domingos do Araguaia,1507151,Marabá,Marabá,Sudeste Paraense
SAO DOMINGOS DO CAPIM,PA,São Domingos do Capim,1507201,Castanhal,Castanhal,Nordeste Paraense
SAO FELIX DO XINGU,PA,São Félix do Xingu,1507300,Redenção,Tucumã - São Félix do Xingu,Sudeste Paraense
SAO FRANCISCO DO PARA,PA,São Francisco do Pará,1507409,Castanhal,Castanhal,Nordeste Paraense
SAO GERALDO DO ARAGUAIA,PA,São Geraldo do Araguaia,1507458,Marabá,Marabá,Sudeste Paraense
SAO JOAO DA PONTA,PA,São João da Ponta,1507466,Castanhal,Castanhal,Nordeste Paraense
SAO JOAO DE PIRABAS,PA,São João de Pirabas,1507474,Castanhal,Capanema,Nordeste Paraense
SAO JOAO DO ARAGUAIA,PA,São João do Araguaia,1507508,Marabá,Marabá,Sudeste Paraense
SAO MIGUEL DO GUAMA,PA,São Miguel do Guamá,1507607,Castanhal,Castanhal,Nordeste Paraense
SAO SEBASTIAO DA BOA VISTA,PA,São Sebastião da Boa Vista,1507706,Breves,Breves,Marajó
SAPUCAIA,PA,Sapucaia,1507755,Redenção,Xinguara,Sudeste Paraense
SENADOR JOSE PORFIRIO,PA,Senador José Porfírio,1507805,Altamira,Altamira,Sudoeste Paraense
SOURE,PA,Soure,1507904,Breves,Soure-Salvaterra,Marajó
TAILANDIA,PA,Tailândia,1507953,Belém,Abaetetuba,Nordeste Paraense
TERRA ALTA,PA,Terra Alta,1507961,Castanhal,Castanhal,Nordeste Paraense
TERRA SANTA,PA,Terra Santa,1507979,Santarém,Oriximiná,Baixo Amazonas
TOME ACU,PA,Tomé-Açu,1508001,Belém,Belém,Nordeste Paraense
TRACUATEUA,PA,Tracuateua,1508035,Castanhal,Bragança,Nordeste Paraense
TRAIRAO,PA,Trairão,1508050,Santarém,Itaituba,Sudoeste Paraense
TUCUMA,PA,Tucumã,1508084,Redenção,Tucumã - São Félix do Xingu,Sudeste Paraense
TUCURUI,PA,Tucuruí,1508100,Marabá,Tucuruí,Sudeste Paraense
ULIANOPOLIS,PA,Ulianópolis,1508126,Castanhal,Paragominas,Sudeste Paraense
URUARA,PA,Uruará,1508159,Altamira,Altamira,Sudoeste Paraense
VIGIA,PA,Vigia,1508209,Belém,Belém,Nordeste Paraense
VISEU,PA,Viseu,1508308,Castanhal,Bragança,Nordeste Paraense
VITORIA DO XINGU,PA,Vitória do Xingu,1508357,Altamira,Altamira,Sudoeste Paraense
XINGUARA,PA,Xinguara,1508407,Redenção,Xinguara,Sudeste Paraense
